contacts	POST	/contacts/search	search-contacts-advanced	Search Contacts	[{"bearer":["contacts.readonly"]}]
contacts	GET	/contacts/search/duplicate	get-duplicate-contact	Get Duplicate Contact	[{"bearer":["contacts.readonly"]}]
contacts	GET	/contacts/{contactId}/tasks	get-all-tasks	Get all Tasks	[{"bearer":["contacts.readonly"]}]
contacts	POST	/contacts/{contactId}/tasks	create-task	Create Task	[{"bearer":["contacts.write"]}]
contacts	GET	/contacts/{contactId}/tasks/{taskId}	get-task	Get Task	[{"bearer":["contacts.readonly"]}]
contacts	PUT	/contacts/{contactId}/tasks/{taskId}	update-task	Update Task	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}/tasks/{taskId}	delete-task	Delete Task	[{"bearer":["contacts.write"]}]
contacts	PUT	/contacts/{contactId}/tasks/{taskId}/completed	update-task-completed	Update Task Completed	[{"bearer":["contacts.write"]}]
contacts	GET	/contacts/{contactId}/appointments	get-appointments-for-contact	Get Appointments for Contact	[{"bearer":["contacts.readonly"]}]
contacts	POST	/contacts/{contactId}/tags	add-tags	Add Tags	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}/tags	remove-tags	Remove Tags	[{"bearer":["contacts.write"]}]
contacts	GET	/contacts/{contactId}/notes	get-all-notes	Get All Notes	[{"bearer":["contacts.readonly"]}]
contacts	POST	/contacts/{contactId}/notes	create-note	Create Note	[{"bearer":["contacts.write"]}]
contacts	GET	/contacts/{contactId}/notes/{id}	get-note	Get Note	[{"bearer":["contacts.readonly"]}]
contacts	PUT	/contacts/{contactId}/notes/{id}	update-note	Update Note	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}/notes/{id}	delete-note	Delete Note	[{"bearer":["contacts.write"]}]
contacts	POST	/contacts/bulk/tags/update/{type}	create-association	Update Contacts Tags	[]
contacts	POST	/contacts/bulk/business	add-remove-contact-from-business	Add/Remove Contacts From Business	[]
contacts	GET	/contacts/{contactId}	get-contact	Get Contact	[{"bearer":["contacts.readonly"]}]
contacts	PUT	/contacts/{contactId}	update-contact	Update Contact	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}	delete-contact	Delete Contact	[{"bearer":["contacts.write"]}]
contacts	POST	/contacts/upsert	upsert-contact	Upsert Contact	[{"bearer":["contacts.write"]}]
contacts	GET	/contacts/business/{businessId}	get-contacts-by-businessId	Get Contacts By BusinessId	[{"bearer":["contacts.readonly"]}]
contacts	POST	/contacts/{contactId}/followers	add-followers-contact	Add Followers	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}/followers	remove-followers-contact	Remove Followers	[{"bearer":["contacts.write"]}]
contacts	POST	/contacts/{contactId}/campaigns/{campaignId}	add-contact-to-campaign	Add Contact to Campaign	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}/campaigns/{campaignId}	remove-contact-from-campaign	Remove Contact From Campaign	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}/campaigns/removeAll	remove-contact-from-every-campaign	Remove Contact From Every Campaign	[{"bearer":["contacts.write"]}]
contacts	POST	/contacts/{contactId}/workflow/{workflowId}	add-contact-to-workflow	Add Contact to Workflow	[{"bearer":["contacts.write"]}]
contacts	DELETE	/contacts/{contactId}/workflow/{workflowId}	delete-contact-from-workflow	Delete Contact from Workflow	[{"bearer":["contacts.write"]}]
contacts	POST	/contacts/	create-contact	Create Contact	[{"bearer":["contacts.write"]}]
contacts	GET	/contacts/	get-contacts	Get Contacts	[{"bearer":["contacts.readonly"]}]
conversations	GET	/conversations/search	search-conversation	Search Conversations	[{"bearer":["conversations.readonly"]}]
conversations	GET	/conversations/{conversationId}	get-conversation	Get Conversation	[{"bearer":["conversations.readonly"]}]
conversations	PUT	/conversations/{conversationId}	update-conversation	Update Conversation	[{"bearer":["conversations.write"]}]
conversations	DELETE	/conversations/{conversationId}	delete-conversation	Delete Conversation	[{"bearer":["conversations.write"]}]
conversations	GET	/conversations/messages/email/{id}	get-email-by-id	Get email by Id	[]
conversations	DELETE	/conversations/messages/email/{emailMessageId}/schedule	cancel-scheduled-email-message	Cancel a scheduled email message.	[]
conversations	GET	/conversations/messages/{id}	get-message	Get message by message id	[{"bearer":["conversations/message.readonly"]}]
conversations	GET	/conversations/{conversationId}/messages	get-messages	Get messages by conversation id	[{"bearer":["conversations/message.readonly"]}]
conversations	POST	/conversations/messages	send-a-new-message	Send a new message	[{"bearer":["conversations/message.write"]}]
conversations	POST	/conversations/messages/inbound	add-an-inbound-message	Add an inbound message	[{"bearer":["conversations/message.write"]}]
